,sentence_A,sentence_B
0,Russia expels more British diplomats over spy poisoning row,Russia expels more British diplomats over spy poisoning row
1,Western allies expel scores of Russian diplomats over Skripal attack,Russia expels more British diplomats over spy poisoning row
2,Russia expels diplomats in tit-for-tat action over Salisbury attack,Russia expels more British diplomats over spy poisoning row
3,"British diplomats to be expelled from Moscow in retaliation, Russian ambassador says - Politics live",Russia expels more British diplomats over spy poisoning row
4,Nato expels seven staff from Russian mission over Skripal poisoning,Russia expels more British diplomats over spy poisoning row
5,Sergei Skripal: Russia expels 23 UK diplomats as row deepens,Russia expels more British diplomats over spy poisoning row
6,Russia threatens retaliation after Britain expels 23 diplomats,Russia expels more British diplomats over spy poisoning row
7,"Russia will hit back against countries expelling diplomats, says Johnson",Russia expels more British diplomats over spy poisoning row
8,At least 10 EU nations to expel Russian diplomats in spy row,Russia expels more British diplomats over spy poisoning row
9,Australia expels two Russian diplomats over 'brazen' UK nerve agent attack,Russia expels more British diplomats over spy poisoning row
